tool_id,slug,title_ru,title_en,category,executor_class,risk_tier,auth,implementation_wave,locales
WD-001,single-page-audit,Технический аудит страницы,Single Page Technical Audit,SEO и аудит,composite,R2,optional,W4,"ru,en"
WD-002,whole-site-audit,Аудит сайта с обходом страниц,Whole-Site Audit,SEO и аудит,crawler,R3,required,W4,"ru,en"
WD-003,meta-tags-checker,Проверка мета-тегов,Meta Tags Checker,SEO и аудит,safe_fetch,R1,none,W2,"ru,en"
WD-004,serp-preview,Предпросмотр поискового сниппета,SERP Snippet Preview,SEO и аудит,browser,R0,none,W1,"ru,en"
WD-005,open-graph-preview,Предпросмотр Open Graph,Open Graph Preview,SEO и аудит,safe_fetch,R1,none,W2,"ru,en"
WD-006,twitter-card-preview,Предпросмотр Twitter/X Card,Twitter/X Card Preview,SEO и аудит,safe_fetch,R1,none,W2,"ru,en"
WD-007,canonical-checker,Проверка canonical,Canonical Checker,SEO и аудит,safe_fetch,R1,none,W2,"ru,en"
WD-008,hreflang-checker,Проверка hreflang,Hreflang Checker,SEO и аудит,safe_fetch,R2,none,W3,"ru,en"
WD-009,robots-txt-tester,Проверка robots.txt,Robots.txt Tester,SEO и аудит,safe_fetch,R1,none,W2,"ru,en"
WD-010,robots-txt-generator,Генератор robots.txt,Robots.txt Generator,SEO и аудит,browser,R0,none,W1,"ru,en"
WD-011,sitemap-validator,Проверка sitemap.xml,Sitemap.xml Validator,SEO и аудит,safe_fetch,R2,none,W3,"ru,en"
WD-012,sitemap-generator,Генератор sitemap.xml из списка URL,Sitemap.xml Generator from URL List,SEO и аудит,browser,R0,none,W1,"ru,en"
WD-013,redirect-chain-checker,Проверка цепочки редиректов,Redirect Chain Checker,SEO и аудит,safe_fetch,R2,none,W3,"ru,en"
WD-014,bulk-http-status-checker,Массовая проверка HTTP-статусов,Bulk HTTP Status Checker,SEO и аудит,safe_fetch,R2,optional,W3,"ru,en"
WD-015,broken-link-checker,Поиск битых ссылок,Broken Link Checker,SEO и аудит,crawler,R3,optional,W4,"ru,en"
WD-016,broken-image-checker,Поиск битых изображений,Broken Image Checker,SEO и аудит,crawler,R3,optional,W4,"ru,en"
WD-017,image-seo-audit,SEO-аудит изображений,Image SEO Audit,SEO и аудит,safe_fetch,R2,none,W3,"ru,en"
WD-018,heading-structure-checker,Проверка структуры заголовков,Heading Structure Checker,SEO и аудит,safe_fetch,R1,none,W2,"ru,en"
WD-019,link-analyzer,Анализ внутренних и внешних ссылок,Internal and External Link Analyzer,SEO и аудит,safe_fetch,R1,none,W2,"ru,en"
WD-020,keyword-density-analyzer,Анализ частоты слов и фраз,Keyword and Phrase Frequency Analyzer,SEO и аудит,composite,R1,none,W2,"ru,en"
WD-021,readability-analyzer,Анализ читабельности текста,Readability Analyzer,SEO и аудит,browser,R0,none,W1,"ru,en"
WD-022,duplicate-meta-checker,Поиск повторяющихся title и description,Duplicate Title and Description Checker,SEO и аудит,crawler,R3,required,W4,"ru,en"
WD-023,orphan-page-finder,Поиск страниц-сирот,Orphan Page Finder,SEO и аудит,crawler,R3,required,W4,"ru,en"
WD-024,indexability-checker,Проверка индексируемости страницы,Page Indexability Checker,SEO и аудит,safe_fetch,R1,none,W2,"ru,en"
WD-025,pagination-seo-checker,Проверка пагинации и URL-параметров,Pagination and URL Parameter SEO Checker,SEO и аудит,safe_fetch,R2,none,W3,"ru,en"
WD-026,structured-data-validator,Проверка структурированных данных,Structured Data Validator,SEO и аудит,composite,R1,none,W2,"ru,en"
WD-027,schema-markup-generator,Генератор Schema.org JSON-LD,Schema.org JSON-LD Generator,SEO и аудит,browser,R0,none,W1,"ru,en"
WD-028,technology-detector,Определение технологий сайта,Website Technology Detector,SEO и аудит,composite,R2,none,W3,"ru,en"
WD-029,favicon-checker,Проверка favicon и web app icons,Favicon and Web App Icon Checker,SEO и аудит,safe_fetch,R1,none,W2,"ru,en"
WD-030,html-validator,Проверка HTML-разметки,HTML Markup Validator,SEO и аудит,composite,R1,none,W2,"ru,en"
WD-031,ssl-certificate-checker,Проверка SSL-сертификата,SSL Certificate Checker,Безопасность и сеть,dns_tls,R1,none,W2,"ru,en"
WD-032,tls-configuration-checker,Проверка конфигурации TLS,TLS Configuration Checker,Безопасность и сеть,dns_tls,R2,none,W3,"ru,en"
WD-033,pem-certificate-viewer,Просмотр PEM-сертификатов и CSR,PEM Certificate and CSR Viewer,Безопасность и сеть,browser,R0,none,W1,"ru,en"
WD-034,security-headers-checker,Проверка заголовков безопасности,Security Headers Checker,Безопасность и сеть,safe_fetch,R1,none,W2,"ru,en"
WD-035,csp-analyzer,Анализ Content Security Policy,Content Security Policy Analyzer,Безопасность и сеть,composite,R1,none,W2,"ru,en"
WD-036,cors-checker,Проверка CORS,CORS Checker,Безопасность и сеть,safe_fetch,R2,none,W3,"ru,en"
WD-037,cookie-security-analyzer,Анализ безопасности cookie,Cookie Security Analyzer,Безопасность и сеть,safe_fetch,R1,none,W2,"ru,en"
WD-038,http-headers-analyzer,Анализ HTTP-заголовков,HTTP Headers Analyzer,Безопасность и сеть,safe_fetch,R1,none,W2,"ru,en"
WD-039,http-compression-checker,Проверка Brotli и Gzip,Brotli and Gzip Compression Checker,Безопасность и сеть,safe_fetch,R1,none,W2,"ru,en"
WD-040,http-protocol-checker,Проверка HTTP/2 и HTTP/3,HTTP/2 and HTTP/3 Checker,Безопасность и сеть,safe_fetch,R1,none,W2,"ru,en"
WD-041,dns-lookup,Проверка DNS-записей,DNS Lookup,Безопасность и сеть,dns_tls,R1,none,W2,"ru,en"
WD-042,dns-propagation-checker,Проверка распространения DNS,DNS Propagation Checker,Безопасность и сеть,dns_tls,R2,none,W3,"ru,en"
WD-043,dnssec-checker,Проверка DNSSEC,DNSSEC Checker,Безопасность и сеть,dns_tls,R2,none,W3,"ru,en"
WD-044,spf-checker,Проверка SPF,SPF Checker,Безопасность и сеть,dns_tls,R1,none,W2,"ru,en"
WD-045,dkim-checker,Проверка DKIM,DKIM Checker,Безопасность и сеть,dns_tls,R1,none,W2,"ru,en"
WD-046,dmarc-checker,Проверка DMARC,DMARC Checker,Безопасность и сеть,dns_tls,R1,none,W2,"ru,en"
WD-047,mx-record-checker,Проверка MX-записей,MX Record Checker,Безопасность и сеть,dns_tls,R1,none,W2,"ru,en"
WD-048,whois-lookup,WHOIS-проверка домена,Domain WHOIS Lookup,Безопасность и сеть,dns_tls,R2,none,W3,"ru,en"
WD-049,ip-information,Информация об IP-адресе,IP Address Information,Безопасность и сеть,dns_tls,R1,none,W2,"ru,en"
WD-050,mixed-content-checker,Поиск смешанного HTTP/HTTPS-контента,Mixed Content Checker,Безопасность и сеть,chromium,R3,optional,W4,"ru,en"
WD-051,core-web-vitals-checker,Проверка Core Web Vitals,Core Web Vitals Checker,Производительность,composite,R3,optional,W4,"ru,en"
WD-052,lighthouse-audit,Lighthouse-аудит страницы,Lighthouse Audit,Производительность,chromium,R3,optional,W4,"ru,en"
WD-053,page-weight-analyzer,Анализ веса страницы,Page Weight Analyzer,Производительность,chromium,R3,optional,W4,"ru,en"
WD-054,resource-waterfall-analyzer,Анализ загрузки ресурсов,Resource Waterfall Analyzer,Производительность,chromium,R3,optional,W4,"ru,en"
WD-055,image-performance-checker,Проверка производительности изображений,Image Performance Checker,Производительность,chromium,R3,optional,W4,"ru,en"
WD-056,font-performance-checker,Проверка загрузки веб-шрифтов,Web Font Performance Checker,Производительность,chromium,R3,optional,W4,"ru,en"
WD-057,cache-policy-checker,Проверка HTTP-кэширования,HTTP Cache Policy Checker,Производительность,safe_fetch,R2,none,W3,"ru,en"
WD-058,render-blocking-resources-checker,Поиск блокирующих рендер ресурсов,Render-Blocking Resources Checker,Производительность,chromium,R3,optional,W4,"ru,en"
WD-059,mobile-viewport-checker,Проверка мобильного viewport,Mobile Viewport Checker,Производительность,chromium,R2,none,W3,"ru,en"
WD-060,accessibility-quick-audit,Быстрый аудит доступности,Quick Accessibility Audit,Производительность,chromium,R3,optional,W4,"ru,en"
WD-061,json-formatter-validator,JSON Formatter и Validator,JSON Formatter and Validator,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-062,json-schema-validator,JSON Schema Validator,JSON Schema Validator,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-063,jsonpath-tester,JSONPath Tester,JSONPath Tester,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-064,yaml-json-converter,YAML ↔ JSON,YAML ↔ JSON Converter,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-065,toml-json-converter,TOML ↔ JSON,TOML ↔ JSON Converter,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-066,xml-formatter-validator,XML Formatter и Validator,XML Formatter and Validator,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-067,csv-validator,CSV Validator,CSV Validator,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-068,csv-json-converter,CSV ↔ JSON,CSV ↔ JSON Converter,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-069,sql-formatter,SQL Formatter,SQL Formatter,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-070,graphql-formatter,GraphQL Formatter,GraphQL Formatter,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-071,regex-tester,Regex Tester,Regular Expression Tester,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-072,cron-generator,Генератор cron-выражений,Cron Expression Generator,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-073,cron-parser,Расшифровка cron-выражений,Cron Expression Parser,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-074,jwt-decoder,JWT Decoder,JWT Decoder,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-075,url-parser,URL Parser,URL Parser,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-076,url-encoder-decoder,URL Encoder / Decoder,URL Encoder and Decoder,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-077,html-entities-converter,HTML Entities Encoder / Decoder,HTML Entities Encoder and Decoder,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-078,base64-converter,Base64 Encoder / Decoder,Base64 Encoder and Decoder,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-079,diff-checker,Сравнение текста и кода,Text and Code Diff Checker,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-080,hash-generator,Генератор хешей,Hash Generator,Разработка и данные,browser,R0,none,W1,"ru,en"
WD-081,color-converter,Конвертер цветов,Color Converter,CSS и дизайн,browser,R0,none,W1,"ru,en"
